Speed,Throttle,Brake,RPM,nGear,DRS,Distance
291.1590923636364,99.0,False,11641.318210327272,7,1,2651.8731848945054
294.0,99.0,False,11697.0,7,1,2672.3499999999995
295.0,99.0,False,11760.0,7,1,2688.6569444444435
295.05500032,99.0,False,11721.6372768,7,1,2689.5606022718193
296.55500032,99.0,False,10675.3872768,7,1,2714.3083427092356
297.0,99.0,False,10365.0,8,1,2721.656944444444
297.0,99.0,False,10467.0,8,1,2734.856944444444
297.0,99.0,False,10467.62000128,8,1,2737.4133178649045
297.0,99.0,False,10471.0,8,1,2751.3569444444443
297.075,99.0,False,10472.05,8,1,2752.349020751857
298.0,99.0,False,10485.0,8,1,2764.6013888888883
298.0,99.0,False,10517.266666666666,8,1,2793.7368561806134
298.0,99.0,False,10518.0,8,1,2794.401388888888
298.16,98.36,False,10433.68,8,1,2797.0611069658753
299.0,95.0,False,9991.0,8,1,2811.0124999999994
296.43333333333334,60.53333333333333,False,10476.833333333334,8,1,2821.829941172632
292.0,1.0,False,11316.0,8,1,2840.212499999999
291.55,1.0,False,11317.2,8,1,2841.1712863963376
286.0,1.0,True,11332.0,7,1,2852.92361111111
283.9875,0.7125,True,11595.0625,7,1,2860.1567754318985
279.1968736,0.02812480000000006,True,12221.265808,7,1,2877.044876118602
279.0,0.0,True,12247.0,6,1,2877.72361111111
273.39,0.0,True,12045.37,6,1,2887.5319177607967
262.0,0.0,True,11636.0,6,1,2906.8347222222214
259.7249984,0.6500004571428571,True,11621.374989714286,6,1,2913.3129828232977
255.0,2.0,False,11591.0,6,1,2926.6680555555545
253.6687488,11.7625088,False,11338.9497728,6,1,2931.6549621935983
252.0,24.0,False,11023.0,6,1,2937.8680555555547
249.13499904,45.010007040000005,False,11126.61753472,6,1,2950.989274821475
247.62,56.120000000000005,False,11181.41,6,1,2957.849904998676
246.0,68.0,False,11240.0,6,1,2965.201388888888
246.0,70.2750016,False,11249.1000064,6,1,2971.4083471734766
246.0,75.0,False,11268.0,6,1,2984.334722222221
246.6937504,91.6500096,False,11308.2375232,6,1,2991.946672425092
247.0,99.0,False,11326.0,6,1,2995.3124999999986
248.05000064,99.0,False,11397.92504384,6,1,3009.7800492522706
249.0,99.0,False,11463.0,6,1,3022.9791666666656
250.16666453333335,99.0,False,11490.9999488,6,1,3027.8791260126254
253.0,99.0,False,11559.0,6,1,3039.845833333332
254.07142765714286,99.0,False,11612.035669028572,6,1,3050.4502709410704
255.0,99.0,False,11658.0,6,1,3059.6791666666654
255.8863645090909,99.0,False,11710.88641570909,6,1,3068.948339845764
257.9386368,99.0,False,11833.3386624,6,1,3090.562987386355
258.0,99.0,False,11837.0,6,1,3091.2124999999987
260.26500096,99.0,False,11157.499712,6,1,3102.142551551425
261.0,99.0,False,10937.0,6,1,3105.7124999999987
264.3804586285849,99.0,False,10779.8086737708,6,1,3125.710785070689
266.6257811726611,99.0,False,10675.40117547126,6,1,3139.142781199211
267.0,99.0,False,10658.0,7,1,3141.3866666666654
268.3636375272727,99.0,False,10731.636426472727,7,1,3152.628561566089
271.0,99.0,False,10874.0,7,1,3174.5088888888877
271.37617707813376,99.0,False,10882.087807179876,7,1,3176.7878867093177
274.385580863081,99.0,False,10946.78998855624,7,1,3195.1185882679297
275.0,99.0,False,10960.0,7,1,3198.8769444444433
275.92500053333333,99.0,False,11002.087524266666,7,1,3207.4075982162867
277.0,99.0,False,11051.0,7,1,3217.3436111111096
277.5687504,99.0,False,11084.5562736,7,1,3224.361811575997
278.0,99.0,False,11110.0,7,1,3229.6991666666654
279.2281256,99.0,False,11143.9781416,7,1,3239.890571201975
281.0,99.0,False,11193.0,7,1,3254.676944444443
281.36,99.0,False,11222.52,7,1,3260.3144145911883
282.0,99.0,False,11275.0,7,1,3270.34361111111
282.5861112888889,99.0,False,11256.830550044444,7,1,3286.90369165557
283.0,99.0,False,11244.0,7,1,3298.64361111111
284.6375008,99.0,False,11384.0063184,7,1,3309.0097588408294
285.0,99.0,False,11415.0,7,1,3311.3102777777767
286.8187504,99.0,False,11420.4562512,7,1,3334.502069096338
287.0,99.0,False,11421.0,7,1,3336.8213888888877
287.84444444444443,99.0,False,11478.422222222222,7,1,3348.998039938132
289.0,99.0,False,11557.0,7,1,3365.7213888888878
